Timestamp,Location,Sensor,Usage_Duration_min,On/Off_Freq,EnergyConsum (kWh),Power_Consum_W,Value,Status_On/Off,Op_Voltage_Volts,Data_Trans_Freq, Sleep_Mode_Duration_sec,Sig_Strength_Range_meters,Alert
00:00,Kitchen,Smoke,81,1,0.9,0.18,0,1,4.6,8,207,59,0
00:00,Living Room 1,Smoke,57,3,0.5,0.19,0,1,4,5,152,82,0
00:00,Porch,Smoke,36,1,0.3,0.15,0,1,3.2,9,178,83,0
00:00,Lounge,Smoke,57,4,0.2,0.16,0,1,4.6,9,128,86,0
00:00,Guest Room,Smoke,69,1,0.9,0.1,0,1,3.8,8,236,90,0
00:15,Living Room 2,CO2 Level,81,3,0.9,0.17,932,1,5,4,240,57,0
00:15,Porch,CO2 Level,78,3,0.7,0.15,744,1,5,10,149,71,0
00:15,Lounge,CO2 Level,65,4,0.4,0.1,627,1,5,7,169,96,0
00:15,Living Room 1,CO2 Level,64,4,0.4,0.16,523,1,5,8,153,65,0
00:15,Guest Room,CO2 Level,61,3,0.1,0.11,959,1,5,4,225,96,0
00:15,Kitchen,CO2 Level,48,1,0.5,0.15,588,1,5,5,159,95,0
00:15,Kitchen,Temperature,52,1,0.7,0.15,4,1,4.3,6,130,66,0
00:15,Living Room 2,Temperature,70,3,0.1,0.12,11,1,3.9,10,147,99,0
00:15,Living Room 1,Temperature,43,2,0.8,0.12,13,1,3.7,10,149,86,0
00:15,Porch,Temperature,71,4,0.3,0.15,18,1,4.4,8,208,87,0
00:15,Guest Room,Temperature,84,5,0.1,0.18,8,1,3.8,10,220,51,1
00:15,Lounge,Temperature,40,3,0.6,0.11,19,1,5,4,226,100,0
00:15,Kitchen,Humidity,31,1,0.7,0.1,29,1,4.6,5,127,57,0
00:15,Guest Room,Humidity,79,1,0.1,0.16,36,1,4.6,10,222,72,0
00:15,Living Room 2,Humidity,32,1,0.7,0.15,26,1,3.9,7,185,78,0
00:15,Living Room 1,Humidity,74,1,0.7,0.11,44,1,4.6,7,160,83,0
00:15,Porch,Humidity,56,2,0.1,0.18,32,1,4.9,10,129,96,0
00:15,Lounge,Humidity,41,2,0.1,0.19,36,1,4.5,4,217,96,0
00:15,Water Tank,Water Level,99,2,0.9,0.16,0.27,1,4,8,131,78,1
00:15,Living Room 1,Occupancy,73,4,0.4,0.17,4,1,4,7,164,84,0
00:15,Porch,Occupancy,59,3,0.3,0.15,10,1,3.5,5,194,59,0
00:15,Living Room 2,Occupancy,57,4,0.4,0.14,4,1,3.3,10,189,67,0
00:15,Lounge,Occupancy,36,2,0.3,0.14,7,1,3.2,10,234,75,0
00:15,Guest Room,Occupancy,70,2,0.7,0.12,4,1,4.2,9,178,53,0
00:15,Kitchen,Occupancy,38,3,0.5,0.11,8,1,3.7,10,220,66,0
00:15,Kitchen,Light,62,1,0.4,0.19,573,1,3.8,9,137,53,0
00:15,Guest Room,Light,47,3,0.8,0.11,514,1,4.9,9,165,65,0
00:15,Lounge,Light,48,2,0.8,0.12,939,1,3.5,9,213,73,0
00:15,Living Room 1,Light,35,2,0.3,0.14,625,1,4.9,6,146,85,0
00:15,Living Room 2,Light,34,2,0.4,0.19,929,1,3.7,6,217,98,0
00:15,Porch,Light,55,2,0.1,0.15,732,1,3.7,4,127,99,0
00:15,Kitchen,Smoke,51,3,0.7,0.13,0,1,3.5,12,142,65,1
00:15,Living Room 2,Smoke,41,2,0.8,0.15,0,1,4.1,9,160,69,0
00:15,Porch,Smoke,70,1,0.3,0.18,0,1,4,8,186,71,0
00:15,Lounge,Smoke,39,4,0.7,0.16,0,1,3.7,5,182,74,0
00:15,Guest Room,Smoke,76,4,0.2,0.15,0,1,4.4,7,200,75,0
00:15,Living Room 1,Smoke,53,2,0.1,0.13,0,1,4.6,8,220,79,0
00:30,Living Room 1,CO2 Level,78,2,0.2,0.16,690,1,5,10,202,76,0
00:30,Porch,CO2 Level,75,3,0.5,0.15,436,1,5,5,156,93,0
00:30,Guest Room,CO2 Level,68,1,0.2,0.11,917,1,5,5,184,89,0
00:30,Living Room 2,CO2 Level,58,1,0.2,0.11,863,1,5,10,189,57,0
00:30,Lounge,CO2 Level,45,2,0.4,0.18,954,1,5,10,155,54,0
00:30,Kitchen,CO2 Level,31,4,0.3,0.19,908,1,5,10,128,74,0
00:30,Living Room 1,Temperature,100,3,0.6,0.13,17,1,4,10,134,53,1
00:30,Living Room 2,Temperature,34,3,0.3,0.12,25,1,4.4,5,136,57,0
00:30,Kitchen,Temperature,59,3,0.2,0.13,9,1,4.2,7,165,90,0
00:30,Guest Room,Temperature,68,3,0.6,0.13,22,1,4.4,7,178,91,0
00:30,Lounge,Temperature,37,2,0.9,0.2,14,1,3.4,4,189,55,0
00:30,Porch,Temperature,30,3,0.8,0.19,7,1,3,7,221,67,0
00:30,Lounge,Humidity,60,4,0.2,0.17,47,1,4,10,208,63,0
00:30,Living Room 2,Humidity,33,3,0.9,0.15,26,1,4.5,10,171,65,0
00:30,Kitchen,Humidity,85,2,0.5,0.12,50,1,4.3,7,212,70,0
00:30,Living Room 1,Humidity,82,1,0.6,0.1,33,1,4.3,9,203,74,0
00:30,Guest Room,Humidity,44,4,0.9,0.18,39,1,3.8,7,191,89,0
00:30,Porch,Humidity,52,3,0.8,0.11,26,1,4.1,8,129,96,0
00:30,Water Tank,Water Level,72,3,0.3,0.15,0.86,1,3.5,9,191,96,0
00:30,Living Room 1,Occupancy,39,3,0.2,0.16,3,1,5,4,167,52,0
00:30,Lounge,Occupancy,31,1,0.4,0.15,7,1,4.1,10,163,60,0
00:30,Kitchen,Occupancy,63,1,0.8,0.14,8,1,3.7,4,135,73,0
00:30,Porch,Occupancy,67,4,0.8,0.12,1,1,4.9,12,128,85,1
00:30,Living Room 2,Occupancy,57,2,0.9,0.11,6,1,3.5,9,212,56,0
00:30,Guest Room,Occupancy,46,3,0.2,0.1,2,1,4.6,7,180,82,0
00:30,Guest Room,Light,100,3,0.8,0.11,596,1,3.2,9,209,53,1
00:30,Living Room 2,Light,68,4,0.6,0.15,683,1,5,5,231,69,0
00:30,Lounge,Light,55,4,0.7,0.15,742,1,3.2,6,210,86,0
00:30,Porch,Light,61,3,0.6,0.1,842,1,3.8,7,217,91,0
00:30,Living Room 1,Light,57,3,0.4,0.11,848,1,3.3,9,209,96,0
00:30,Kitchen,Light,75,1,0.4,0.17,834,1,3.1,6,204,98,0
00:30,Guest Room,Smoke,57,4,0.8,0.1,0,1,3.5,9,154,63,0
00:30,Lounge,Smoke,64,3,0.3,0.17,0,1,4,8,149,80,0
00:30,Living Room 2,Smoke,85,2,0.9,0.17,0,1,3.7,5,132,82,0
00:30,Living Room 1,Smoke,35,3,0.8,0.1,0,1,3,4,149,89,0
00:30,Kitchen,Smoke,34,3,0.5,0.19,0,1,3.8,7,164,89,0
00:30,Porch,Smoke,48,1,0.8,0.18,0,1,4.4,4,148,93,0
00:45,Living Room 2,CO2 Level,64,3,0.9,0.14,843,1,5,5,222,85,0
00:45,Lounge,CO2 Level,52,1,0.1,0.16,873,1,5,9,80,74,1
00:45,Guest Room,CO2 Level,46,4,1,0.16,544,1,5,10,180,71,1
00:45,Living Room 1,CO2 Level,46,3,0.6,0.2,519,1,5,5,169,99,0
00:45,Porch,CO2 Level,41,3,0.3,0.18,497,1,5,10,150,84,0
00:45,Kitchen,CO2 Level,37,2,0.5,0.15,896,1,5,5,180,63,0
00:45,Lounge,Temperature,69,3,0.5,0.11,4,1,4.9,10,135,87,0
00:45,Living Room 1,Temperature,34,1,0.9,0.19,24,1,4.2,4,145,83,0
00:45,Living Room 2,Temperature,33,1,0.6,0.19,27,1,4.8,4,162,35,1
00:45,Guest Room,Temperature,44,1,0.6,0.16,0,1,4,5,167,56,0
00:45,Porch,Temperature,78,4,0.2,0.17,7,1,3.9,6,172,78,0
00:45,Kitchen,Temperature,41,1,0.6,0.1,20,1,4.3,5,177,85,0
00:45,Porch,Humidity,52,1,0.6,0.14,39,1,4.8,4,174,62,0
00:45,Living Room 2,Humidity,67,3,0.2,0.19,46,1,4.7,10,171,74,0
00:45,Guest Room,Humidity,71,3,0.7,0.15,41,1,3.2,6,239,80,0
00:45,Kitchen,Humidity,82,5,0.5,0.15,25,1,4,8,155,91,1
00:45,Lounge,Humidity,86,4,0.8,0.11,38,1,3.2,10,236,96,0
00:45,Living Room 1,Humidity,46,1,0.6,0.12,33,1,4.2,6,131,100,0
00:45,Water Tank,Water Level,82,4,0.8,0.16,0.77,1,4.4,5,201,86,0
00:45,Living Room 2,Occupancy,45,3,0.7,0.19,3,1,3.4,8,126,65,0
00:45,Lounge,Occupancy,46,4,0.7,0.15,5,1,4.9,6,187,64,0
00:45,Guest Room,Occupancy,47,3,0.6,0.15,10,1,3.3,9,222,73,0
00:45,Porch,Occupancy,100,4,0.6,0.13,4,1,3.7,5,193,67,1
00:45,Living Room 1,Occupancy,79,4,0.3,0.13,9,1,4.9,4,223,79,0
00:45,Kitchen,Occupancy,76,1,0.5,0.1,10,1,4.9,9,184,62,0
00:45,Porch,Light,100,3,0.8,0.2,597,1,4,6,167,98,1
00:45,Living Room 1,Light,31,3,0.8,0.1,401,1,4.5,7,218,55,0
00:45,Guest Room,Light,68,4,0.3,0.15,499,1,3.8,8,206,70,0
00:45,Kitchen,Light,83,3,0.1,0.19,547,1,3.5,8,151,77,0
00:45,Lounge,Light,37,2,0.1,0.15,630,1,3.2,7,183,85,0
00:45,Living Room 2,Light,80,4,0.8,0.17,629,1,4.5,6,175,88,0
00:45,Living Room 1,Smoke,39,3,0.9,0.15,0,1,4.2,5,170,35,1
00:45,Lounge,Smoke,86,3,0.4,0.14,0,1,3,12,192,89,1
00:45,Living Room 2,Smoke,35,2,0.3,0.11,0,1,3.1,7,124,64,0
00:45,Porch,Smoke,59,4,0.5,0.1,0,1,4.3,10,238,65,0
00:45,Kitchen,Smoke,51,4,0.2,0.1,0,1,4.7,4,229,82,0
00:45,Guest Room,Smoke,39,2,0.1,0.13,0,1,4,6,237,83,0
01:00,Porch,CO2 Level,100,2,0.5,0.16,790,1,5,8,193,76,1
01:00,Guest Room,CO2 Level,68,3,0.3,0.12,1010,1,5,10,260,63,1
01:00,Lounge,CO2 Level,62,2,0.7,0.12,1000,1,5,10,187,86,1
01:00,Kitchen,CO2 Level,43,3,0.7,0.17,577,1,5,8,224,91,0
01:00,Living Room 2,CO2 Level,37,2,0.6,0.13,479,1,5,6,125,77,0
01:00,Living Room 1,CO2 Level,31,4,0.1,0.17,753,1,5,7,124,53,0
01:00,Porch,Temperature,45,3,0.6,0.13,38,1,4.6,5,135,63,1
01:00,Guest Room,Temperature,41,3,0.8,0.12,11,1,3.8,4,153,92,0
01:00,Lounge,Temperature,85,2,0.9,0.17,8,1,4.2,8,177,93,0
01:00,Kitchen,Temperature,74,3,0.8,0.11,4,1,3.8,9,184,64,0
01:00,Living Room 1,Temperature,45,3,0.9,0.2,5,1,3.3,6,208,63,0
01:00,Living Room 2,Temperature,100,3,0.5,0.12,5,1,4.9,4,226,84,1
01:00,Guest Room,Humidity,71,3,0.6,0.16,41,1,4.1,7,225,55,0
01:00,Living Room 2,Humidity,55,3,0.3,0.19,38,1,4.5,4,205,59,0
01:00,Kitchen,Humidity,31,4,0.1,0.12,40,1,3.2,5,195,69,0
01:00,Porch,Humidity,61,1,0.5,0.11,45,1,4.6,7,191,84,0
01:00,Lounge,Humidity,55,2,0.3,0.15,26,1,3.4,6,189,93,0
01:00,Living Room 1,Humidity,39,2,0.4,0.14,27,1,4.2,6,232,95,0
01:00,Water Tank,Water Level,83,2,0.9,0.1,0.55,1,4.7,5,157,87,0
01:00,Kitchen,Occupancy,78,1,0.7,0.16,9,1,4.4,4,194,63,0
01:00,Porch,Occupancy,83,5,0.3,0.15,10,1,5,11,223,52,1
01:00,Lounge,Occupancy,65,3,0.4,0.15,8,1,4.9,4,154,94,0
01:00,Living Room 1,Occupancy,36,1,0.2,0.14,1,1,3.5,8,217,97,0
01:00,Living Room 2,Occupancy,86,3,0.1,0.11,4,1,3.5,9,198,50,0
01:00,Guest Room,Occupancy,84,4,0.7,0.1,1,1,4.1,5,160,77,0
01:00,Porch,Light,49,4,0.8,0.16,427,1,4.8,7,227,60,0
01:00,Kitchen,Light,31,2,0.6,0.1,589,1,4.5,5,229,60,0
01:00,Guest Room,Light,49,4,0.4,0.18,902,1,3.6,4,158,72,0
01:00,Lounge,Light,66,1,0.9,0.13,788,1,4,4,203,73,0
01:00,Living Room 1,Light,69,4,0.2,0.1,615,1,4.1,10,204,73,0
01:00,Living Room 2,Light,34,1,0.4,0.11,654,1,3.7,9,194,82,0
01:00,Porch,Smoke,100,2,0.1,0.15,0,1,3.3,4,225,80,1
01:00,Kitchen,Smoke,35,3,0.4,0.2,0,1,4.2,5,184,56,0
01:00,Living Room 1,Smoke,33,2,0.4,0.13,0,1,3.7,9,212,57,0
01:00,Guest Room,Smoke,62,2,0.3,0.16,0,1,4.6,4,229,81,0
01:00,Living Room 2,Smoke,81,3,0.1,0.19,0,1,3,9,218,93,0
01:00,Lounge,Smoke,51,2,0.8,0.18,0,1,4.5,6,204,98,0
01:15,Living Room 2,CO2 Level,79,3,0.5,0.12,741,1,5,4,128,63,0
01:15,Porch,CO2 Level,53,4,1,0.17,638,1,5,7,138,82,1
01:15,Kitchen,CO2 Level,46,1,0.2,0.16,777,1,5,8,186,81,0
01:15,Lounge,CO2 Level,42,3,0.9,0.12,511,1,5,5,208,86,0
01:15,Guest Room,CO2 Level,39,4,0.4,0.11,975,0,5,9,127,58,1
01:15,Living Room 1,CO2 Level,32,2,0.4,0.1,813,1,5,10,240,63,0
01:15,Kitchen,Temperature,59,1,0.2,0.18,16,1,3.9,9,80,54,1
01:15,Guest Room,Temperature,43,4,0.2,0.15,25,1,4.4,9,127,56,0
01:15,Living Room 1,Temperature,100,1,0.6,0.16,1,1,3.9,7,168,59,1
01:15,Lounge,Temperature,80,1,0.8,0.16,7,1,3.4,8,196,61,0
01:15,Living Room 2,Temperature,64,3,0.2,0.1,25,1,3.9,8,227,78,0
01:15,Porch,Temperature,74,1,0.4,0.16,18,1,4,9,229,96,0
01:15,Living Room 1,Humidity,50,1,0.7,0.13,43,1,4.5,9,227,53,0
01:15,Porch,Humidity,59,2,0.6,0.19,42,1,3.9,9,212,54,0
01:15,Guest Room,Humidity,86,3,0.6,0.2,30,1,3.4,4,155,57,0
01:15,Lounge,Humidity,66,3,0.6,0.18,26,1,3.2,9,131,62,0
01:15,Living Room 2,Humidity,44,2,0.1,0.12,39,1,4.4,8,185,98,0
01:15,Kitchen,Humidity,74,4,0.1,0.2,47,1,3.5,5,240,98,0
01:15,Water Tank,Water Level,72,5,0.2,0.11,0.28,1,4.1,7,190,91,1
01:15,Guest Room,Occupancy,74,2,0.4,0.19,2,1,4.8,9,233,71,0
01:15,Living Room 2,Occupancy,49,1,0.2,0.18,8,1,3.3,4,209,86,0
01:15,Porch,Occupancy,62,3,0.8,0.16,10,1,3.2,10,141,82,0
01:15,Kitchen,Occupancy,69,3,0.3,0.16,9,1,3.8,10,157,97,0
01:15,Lounge,Occupancy,30,2,0.7,0.16,2,1,3.1,9,214,100,0
01:15,Living Room 1,Occupancy,31,3,0.8,0.14,7,1,4.8,9,139,63,0
01:15,Porch,Light,34,4,1,0.15,711,1,3.2,5,206,52,1
01:15,Living Room 1,Light,70,4,0.8,0.19,412,1,4,4,203,54,0
01:15,Guest Room,Light,79,4,0.1,0.12,703,1,3.6,6,215,54,0
01:15,Lounge,Light,54,1,0.2,0.12,812,1,3.8,9,201,61,0
01:15,Living Room 2,Light,37,2,0.2,0.19,653,1,4.1,8,144,77,0
01:15,Kitchen,Light,70,1,0.9,0.13,571,1,3.7,5,208,92,0
01:15,Kitchen,Smoke,100,2,0.2,0.14,0,1,4.9,8,164,51,1
01:15,Guest Room,Smoke,41,4,0.5,0.17,0,1,4.3,4,140,54,0
01:15,Living Room 1,Smoke,84,1,0.4,0.12,0,1,4.5,4,237,59,0
01:15,Living Room 2,Smoke,73,1,0.9,0.18,0,1,3.8,6,209,60,0
01:15,Porch,Smoke,37,1,0.5,0.11,0,1,3.8,4,194,67,0
01:15,Lounge,Smoke,58,1,0.1,0.17,0,1,4.2,9,216,75,0
01:30,Kitchen,CO2 Level,82,4,0.4,0.19,496,1,5,6,212,65,0
01:30,Living Room 2,CO2 Level,78,4,0.7,0.16,810,1,5,10,200,94,0
01:30,Lounge,CO2 Level,67,1,0.3,0.18,636,1,5,8,125,57,0
01:30,Porch,CO2 Level,63,4,0.3,0.18,722,1,5,10,216,81,0
01:30,Guest Room,CO2 Level,59,1,0.2,0.1,956,1,5,6,225,72,0
01:30,Living Room 1,CO2 Level,44,1,0.4,0.19,926,1,5,8,236,84,0
01:30,Porch,Temperature,48,4,0.4,0.15,12,1,3.5,7,132,51,0
01:30,Kitchen,Temperature,85,5,0.2,0.19,10,1,4.4,10,150,53,1
01:30,Guest Room,Temperature,71,4,0.3,0.13,7,1,5,8,172,52,0
01:30,Living Room 1,Temperature,59,2,0.9,0.18,0,1,3.2,10,207,79,0
01:30,Living Room 2,Temperature,61,2,0.1,0.2,3,1,3.4,10,217,68,0
01:30,Lounge,Temperature,45,4,0.8,0.19,29,1,4.9,7,222,91,0
01:30,Porch,Humidity,49,2,0.5,0.11,49,1,4.3,7,203,65,0
01:30,Kitchen,Humidity,55,4,0.8,0.18,33,1,4,9,137,70,0
01:30,Living Room 2,Humidity,35,3,0.7,0.13,42,1,4.2,8,158,85,0
01:30,Guest Room,Humidity,88,3,0.1,0.13,35,1,3.4,4,159,90,0
01:30,Lounge,Humidity,52,1,0.9,0.14,31,1,3.4,5,152,92,0
01:30,Living Room 1,Humidity,39,4,0.6,0.18,27,1,4.5,8,153,93,0
01:30,Water Tank,Water Level,57,1,1,0.32,0.48,1,3,4,170,92,1
01:30,Living Room 2,Occupancy,100,2,0.1,0.15,6,1,4,5,238,84,1
01:30,Guest Room,Occupancy,75,2,0.5,0.14,9,1,3.7,10,140,74,0
01:30,Lounge,Occupancy,78,4,0.4,0.14,6,1,3.5,6,191,79,0
01:30,Living Room 1,Occupancy,73,3,0.7,0.12,6,1,4.5,5,197,65,0
01:30,Kitchen,Occupancy,83,3,0.3,0.11,5,1,3.8,7,234,52,0
01:30,Porch,Occupancy,50,3,0.2,0.11,6,1,3.2,6,211,54,0
01:30,Living Room 2,Light,85,1,0.9,0.16,664,1,5,8,145,58,0
01:30,Kitchen,Light,88,1,0.8,0.14,862,1,3.8,7,168,58,0
01:30,Living Room 1,Light,37,2,0.2,0.17,724,1,3.5,4,124,75,0
01:30,Porch,Light,31,4,0.3,0.1,936,1,3.1,8,225,78,0
01:30,Guest Room,Light,79,2,0.6,0.19,712,1,4.3,5,215,88,0
01:30,Lounge,Light,78,2,0.7,0.17,708,1,3.3,10,202,91,0
01:30,Porch,Smoke,51,4,0.8,0.35,0,1,3.6,9,237,90,1
01:30,Lounge,Smoke,74,2,0.8,0.1,0,1,4.7,6,189,59,0
01:30,Kitchen,Smoke,82,1,0.6,0.12,0,1,3.2,10,216,63,0
01:30,Guest Room,Smoke,48,3,0.6,0.12,0,1,4.2,10,185,67,0
01:30,Living Room 2,Smoke,70,3,0.5,0.11,0,1,4.2,4,214,92,0
01:30,Living Room 1,Smoke,81,2,0.3,0.16,0,1,4.6,9,223,93,0
01:45,Guest Room,CO2 Level,100,5,0.6,0.18,911,1,5,4,174,90,1
01:45,Kitchen,CO2 Level,83,1,0.4,0.13,886,1,5,9,177,52,0
01:45,Living Room 1,CO2 Level,52,3,0.8,0.19,440,1,5,10,123,82,0
01:45,Porch,CO2 Level,43,2,0.2,0.12,629,1,5,5,177,88,0
01:45,Living Room 2,CO2 Level,42,3,0.4,0.11,785,1,5,6,181,76,0
01:45,Lounge,CO2 Level,33,4,0.3,0.19,815,1,5,10,196,74,0
01:45,Guest Room,Temperature,51,3,0.8,0.2,16,1,3.6,6,142,100,0
01:45,Living Room 2,Temperature,84,1,0.2,0.16,6,1,3.6,10,151,58,0
01:45,Porch,Temperature,52,4,0.4,0.17,15,1,4.2,10,153,60,0
01:45,Kitchen,Temperature,36,4,0.7,0.18,17,1,3.5,5,166,73,0
01:45,Lounge,Temperature,33,2,0.1,0.11,7,1,3.3,7,199,98,0
01:45,Living Room 1,Temperature,87,1,0.9,0.16,40,1,3.2,5,225,72,1
01:45,Living Room 2,Humidity,88,2,0.9,0.12,28,1,4.5,10,135,69,0
01:45,Kitchen,Humidity,40,4,0.7,0.1,33,1,4,10,236,82,0
01:45,Porch,Humidity,38,3,0.4,0.12,30,1,4,8,208,84,0
01:45,Guest Room,Humidity,36,4,0.7,0.2,49,1,4.9,4,131,84,0
01:45,Lounge,Humidity,87,2,0.1,0.13,49,1,3.3,8,167,85,0
01:45,Living Room 1,Humidity,32,2,0.6,0.16,36,1,3.1,7,216,88,0
01:45,Water Tank,Water Level,44,2,0.3,0.1,0.48,1,4,9,186,90,0
01:45,Lounge,Occupancy,50,2,0.9,0.16,4,1,4.3,9,170,87,0
01:45,Living Room 1,Occupancy,54,4,0.8,0.15,8,1,3.8,7,170,78,0
01:45,Porch,Occupancy,86,4,0.5,0.15,10,1,3,8,138,88,0
01:45,Guest Room,Occupancy,57,3,0.3,0.13,4,1,3,6,204,62,0
01:45,Living Room 2,Occupancy,43,4,0.8,0.11,10,1,3.1,4,189,76,0
01:45,Kitchen,Occupancy,81,3,0.3,0.1,4,1,3.7,9,154,55,0
01:45,Kitchen,Light,37,1,0.8,0.35,462,1,4.8,5,126,90,1
01:45,Guest Room,Light,38,4,1,0.14,824,1,4.1,7,222,94,1
01:45,Living Room 1,Light,30,3,0.2,0.12,733,1,4.1,8,124,52,0
01:45,Lounge,Light,33,4,0.8,0.18,760,1,4.2,10,229,72,0
01:45,Porch,Light,85,1,0.2,0.19,535,1,4,7,130,73,0
01:45,Living Room 2,Light,41,1,0.9,0.15,621,1,3.1,8,154,94,0
01:45,Kitchen,Smoke,60,4,1,0.2,0,1,3.7,8,140,76,1
01:45,Porch,Smoke,66,3,0.3,0.1,0,1,4.6,5,195,81,0
01:45,Living Room 2,Smoke,75,1,0.3,0.13,0,1,4,4,128,84,0
01:45,Living Room 1,Smoke,50,2,0.6,0.15,0,1,3.8,4,225,93,0
01:45,Guest Room,Smoke,79,2,0.8,0.14,0,1,3.9,4,165,100,0
01:45,Lounge,Smoke,84,2,0.9,0.12,0,1,3,7,224,100,0
02:00,Living Room 2,CO2 Level,100,1,0.3,0.13,902,1,5,4,216,84,1
02:00,Lounge,CO2 Level,75,3,0.2,0.12,434,1,5,9,145,74,0
02:00,Living Room 1,CO2 Level,75,3,0.4,0.13,1000,1,5,7,190,74,1
02:00,Kitchen,CO2 Level,74,3,0.6,0.14,650,1,5,8,215,79,0
02:00,Porch,CO2 Level,33,3,0.4,0.2,762,1,5,9,138,57,0
02:00,Guest Room,CO2 Level,32,2,0.7,0.19,459,1,5,4,207,80,0
02:00,Porch,Temperature,65,3,0.1,0.16,28,1,5,9,127,93,0
02:00,Living Room 2,Temperature,39,1,0.6,0.12,4,1,4.1,6,185,56,0
02:00,Guest Room,Temperature,71,3,0.4,0.18,5,1,3.1,5,197,52,0
02:00,Lounge,Temperature,32,3,0.6,0.19,12,1,3.9,7,214,88,0
02:00,Kitchen,Temperature,100,3,0.9,0.19,16,1,4.1,6,218,90,1
02:00,Living Room 1,Temperature,66,4,0.3,0.17,38,1,3.4,6,232,60,1
02:00,Living Room 1,Humidity,50,3,0.1,0.18,30,1,3.2,8,136,54,0
02:00,Kitchen,Humidity,30,1,0.7,0.13,29,1,4.8,5,175,55,0
02:00,Guest Room,Humidity,30,2,0.6,0.1,41,1,3.8,4,210,60,0
02:00,Living Room 2,Humidity,71,4,0.5,0.15,43,1,4.1,4,162,82,0
02:00,Porch,Humidity,53,1,0.6,0.12,31,1,4,4,162,83,0
02:00,Lounge,Humidity,43,4,0.3,0.19,45,1,3.8,4,200,84,0
02:00,Water Tank,Water Level,80,1,0.1,0.16,0.35,1,3.2,10,153,69,0
02:00,Living Room 1,Occupancy,100,3,0.6,0.17,5,1,4.7,4,177,98,1
02:00,Lounge,Occupancy,62,3,0.8,0.16,7,1,3.8,9,132,94,0
02:00,Porch,Occupancy,76,3,0.3,0.15,4,1,3.7,9,211,71,0
02:00,Kitchen,Occupancy,64,3,0.5,0.13,3,1,4.8,7,166,71,0
02:00,Living Room 2,Occupancy,48,2,0.6,0.1,6,1,4.6,8,142,70,0
02:00,Guest Room,Occupancy,50,1,0.7,0.1,1,1,3.8,8,232,91,0
02:00,Living Room 2,Light,36,4,1,0.16,497,1,3.8,6,235,87,1
02:00,Living Room 1,Light,65,4,1,0.11,680,1,3.5,7,217,97,1
